size,stride,ns
4096,4,0.192787
4096,8,0.201816
4096,16,0.184323
4096,32,0.188235
4096,64,0.051681
4096,128,0.214465
4096,256,0.260016
4096,512,0.150311
4096,1024,0.200514
4096,2048,0.719109
8192,4,0.211396
8192,8,0.180880
8192,16,0.179621
8192,32,0.201487
8192,64,0.147796
8192,128,0.061778
8192,256,0.217249
8192,512,0.221386
8192,1024,0.162789
8192,2048,0.207908
8192,4096,0.740311
16384,4,0.227470
16384,8,0.194542
16384,16,0.188990
16384,32,0.187520
16384,64,0.152943
16384,128,0.131658
16384,256,0.174184
16384,512,0.234678
16384,1024,0.385704
16384,2048,0.340653
16384,4096,0.224118
16384,8192,0.712622
32768,4,0.231822
32768,8,0.208662
32768,16,0.220447
32768,32,0.219808
32768,64,0.154999
32768,128,0.181135
32768,256,0.215575
32768,512,0.246206
32768,1024,0.352240
32768,2048,0.550803
32768,4096,0.818810
32768,8192,0.481503
32768,16384,0.745807
65536,4,0.264730
65536,8,0.220231
65536,16,0.274093
65536,32,0.768344
65536,64,1.804595
65536,128,1.884452
65536,256,1.928273
65536,512,2.026028
65536,1024,3.234128
65536,2048,2.511039
65536,4096,3.844882
65536,8192,0.776524
65536,16384,0.185470
65536,32768,0.727368
131072,4,0.213381
131072,8,0.190834
131072,16,0.284791
131072,32,0.737326
131072,64,1.776978
131072,128,1.818518
131072,256,1.868038
131072,512,2.031567
131072,1024,3.430291
131072,2048,5.418776
131072,4096,6.548507
131072,8192,4.049608
131072,16384,0.718320
131072,32768,0.164560
131072,65536,0.691540
262144,4,0.174623
262144,8,0.227568
262144,16,0.335180
262144,32,0.859993
262144,64,1.882581
262144,128,1.989418
262144,256,1.907034
262144,512,1.926181
262144,1024,3.567309
262144,2048,4.958001
262144,4096,8.371030
262144,8192,5.822396
262144,16384,3.974815
262144,32768,0.715756
262144,65536,0.287688
262144,131072,0.677212
524288,4,0.209400
524288,8,0.299718
524288,16,0.496164
524288,32,1.077034
524288,64,2.540711
524288,128,2.719851
524288,256,2.999442
524288,512,2.433697
524288,1024,4.038591
524288,2048,6.201753
524288,4096,9.795554
524288,8192,8.870868
524288,16384,11.902635
524288,32768,6.989979
524288,65536,0.776395
524288,131072,0.282686
524288,262144,0.657715
1048576,4,0.199143
1048576,8,0.282893
1048576,16,0.496195
1048576,32,1.055078
1048576,64,2.475248
1048576,128,2.831677
1048576,256,3.152367
1048576,512,2.300894
1048576,1024,3.898776
1048576,2048,6.092008
1048576,4096,9.703035
1048576,8192,9.615223
1048576,16384,10.881035
1048576,32768,10.955432
1048576,65536,7.090754
1048576,131072,1.731445
1048576,262144,0.348389
1048576,524288,0.753009
2097152,4,0.178217
2097152,8,0.283998
2097152,16,0.540001
2097152,32,1.196570
2097152,64,2.672940
2097152,128,2.969925
2097152,256,3.402367
2097152,512,2.568822
2097152,1024,3.935311
2097152,2048,6.336207
2097152,4096,10.211352
2097152,8192,10.492226
2097152,16384,10.533245
2097152,32768,11.004954
2097152,65536,11.028465
2097152,131072,6.881783
2097152,262144,0.800173
2097152,524288,0.060646
2097152,1048576,0.732359
4194304,4,0.243349
4194304,8,0.477782
4194304,16,1.035178
4194304,32,2.188870
4194304,64,4.460276
4194304,128,5.149184
4194304,256,5.836148
4194304,512,4.771755
4194304,1024,5.892332
4194304,2048,9.129519
4194304,4096,15.218347
4194304,8192,10.339636
4194304,16384,10.605822
4194304,32768,10.789381
4194304,65536,10.565373
4194304,131072,9.412145
4194304,262144,7.012557
4194304,524288,0.878515
4194304,1048576,0.085761
4194304,2097152,0.716504
8388608,4,0.255503
8388608,8,0.598209
8388608,16,1.435092
8388608,32,3.050206
8388608,64,6.685411
8388608,128,8.092934
8388608,256,9.450491
8388608,512,7.973438
8388608,1024,7.907352
8388608,2048,10.148142
8388608,4096,14.257046
8388608,8192,14.029501
8388608,16384,11.502937
8388608,32768,10.105987
8388608,65536,9.776534
8388608,131072,8.723021
8388608,262144,8.524557
8388608,524288,6.436733
8388608,1048576,0.773943
8388608,2097152,-0.056330
8388608,4194304,0.796356
16777216,4,0.266432
16777216,8,0.596634
16777216,16,1.475632
16777216,32,3.166821
16777216,64,7.101460
16777216,128,9.724096
16777216,256,11.374306
16777216,512,9.696868
16777216,1024,9.363623
16777216,2048,11.392348
16777216,4096,15.668866
16777216,8192,17.433996
16777216,16384,21.273468
16777216,32768,13.440751
16777216,65536,10.193583
16777216,131072,9.321263
16777216,262144,10.935236
16777216,524288,7.753613
16777216,1048576,6.345851
16777216,2097152,0.829343
16777216,4194304,-0.008384
16777216,8388608,0.752829
33554432,4,0.324964
33554432,8,0.630547
33554432,16,1.505899
33554432,32,3.289867
33554432,64,7.244694
33554432,128,10.053097
33554432,256,12.457335
33554432,512,10.473047
33554432,1024,10.289324
33554432,2048,11.898553
33554432,4096,15.716481
33554432,8192,17.051747
33554432,16384,17.963706
33554432,32768,16.621232
33554432,65536,12.991632
33554432,131072,12.552644
33554432,262144,11.593343
33554432,524288,10.663223
33554432,1048576,9.993400
33554432,2097152,6.293297
33554432,4194304,0.795760
33554432,8388608,-0.059514
33554432,16777216,0.741923
67108864,4,0.313318
67108864,8,0.668770
67108864,16,1.504195
67108864,32,3.269732
67108864,64,7.221031
67108864,128,10.532666
67108864,256,13.151664
67108864,512,10.785449
67108864,1024,10.606283
67108864,2048,12.331712
67108864,4096,15.736651
67108864,8192,17.015428
67108864,16384,17.959063
67108864,32768,18.479423
67108864,65536,16.025214
67108864,131072,15.728288
67108864,262144,11.783874
67108864,524288,11.698586
67108864,1048576,10.953408
67108864,2097152,9.738285
67108864,4194304,5.935317
67108864,8388608,0.843232
67108864,16777216,-0.037586
67108864,33554432,0.738315
